Test_ID,Family,Contract_ID,Subject,Severity,Assessment_Status,Evidence,Reason
T-W1-005-04,W1_AUDIT,W1-P1-005,الفرع,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-005-05,W1_LIFECYCLE,W1-P1-005,الفرع,MEDIUM,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-006-01,W1_SCHEMA,W1-P1-006,الإعدادات العامة,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-006-02,W1_SCOPE,W1-P1-006,الإعدادات العامة,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-006-03,W1_CONCURRENCY,W1-P1-006,الإعدادات العامة,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-006-04,W1_AUDIT,W1-P1-006,الإعدادات العامة,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-006-05,W1_LIFECYCLE,W1-P1-006,الإعدادات العامة,MEDIUM,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-007-01,W1_SCHEMA,W1-P1-007,إعدادات المؤسسة,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-007-02,W1_SCOPE,W1-P1-007,إعدادات المؤسسة,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-007-03,W1_CONCURRENCY,W1-P1-007,إعدادات المؤسسة,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-007-04,W1_AUDIT,W1-P1-007,إعدادات المؤسسة,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-007-05,W1_LIFECYCLE,W1-P1-007,إعدادات المؤسسة,MEDIUM,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-008-01,W1_SCHEMA,W1-P1-008,إعدادات الفرع,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-008-02,W1_SCOPE,W1-P1-008,إعدادات الفرع,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-008-03,W1_CONCURRENCY,W1-P1-008,إعدادات الفرع,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-008-04,W1_AUDIT,W1-P1-008,إعدادات الفرع,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-008-05,W1_LIFECYCLE,W1-P1-008,إعدادات الفرع,MEDIUM,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-009-01,W1_SCHEMA,W1-P1-009,دليل الحسابات,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-009-02,W1_SCOPE,W1-P1-009,دليل الحسابات,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-009-03,W1_CONCURRENCY,W1-P1-009,دليل الحسابات,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-009-04,W1_AUDIT,W1-P1-009,دليل الحسابات,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-009-05,W1_LIFECYCLE,W1-P1-009,دليل الحسابات,MEDIUM,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-010-01,W1_SCHEMA,W1-P1-010,الفترة المالية,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-010-02,W1_SCOPE,W1-P1-010,الفترة المالية,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-010-03,W1_CONCURRENCY,W1-P1-010,الفترة المالية,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-010-04,W1_AUDIT,W1-P1-010,الفترة المالية,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-010-05,W1_LIFECYCLE,W1-P1-010,الفترة المالية,MEDIUM,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-011-01,W1_SCHEMA,W1-P1-011,العملة,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-011-02,W1_SCOPE,W1-P1-011,العملة,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-011-03,W1_CONCURRENCY,W1-P1-011,العملة,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-011-04,W1_AUDIT,W1-P1-011,العملة,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-011-05,W1_LIFECYCLE,W1-P1-011,العملة,MEDIUM,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-012-01,W1_SCHEMA,W1-P1-012,البعد المالي,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-012-02,W1_SCOPE,W1-P1-012,البعد المالي,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-012-03,W1_CONCURRENCY,W1-P1-012,البعد المالي,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-012-04,W1_AUDIT,W1-P1-012,البعد المالي,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-012-05,W1_LIFECYCLE,W1-P1-012,البعد المالي,MEDIUM,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-013-01,W1_SCHEMA,W1-P1-013,القيد اليومي,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-013-02,W1_SCOPE,W1-P1-013,القيد اليومي,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-013-03,W1_CONCURRENCY,W1-P1-013,القيد اليومي,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-013-04,W1_AUDIT,W1-P1-013,القيد اليومي,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-013-05,W1_LIFECYCLE,W1-P1-013,القيد اليومي,MEDIUM,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-014-01,W1_SCHEMA,W1-P1-014,سند القبض,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-014-02,W1_SCOPE,W1-P1-014,سند القبض,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-014-03,W1_CONCURRENCY,W1-P1-014,سند القبض,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-014-04,W1_AUDIT,W1-P1-014,سند القبض,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-014-05,W1_LIFECYCLE,W1-P1-014,سند القبض,MEDIUM,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-015-01,W1_SCHEMA,W1-P1-015,سند الصرف,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-015-02,W1_SCOPE,W1-P1-015,سند الصرف,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-015-03,W1_CONCURRENCY,W1-P1-015,سند الصرف,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-015-04,W1_AUDIT,W1-P1-015,سند الصرف,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-015-05,W1_LIFECYCLE,W1-P1-015,سند الصرف,MEDIUM,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-016-01,W1_SCHEMA,W1-P1-016,سجل التدقيق,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-016-02,W1_SCOPE,W1-P1-016,سجل التدقيق,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-016-03,W1_CONCURRENCY,W1-P1-016,سجل التدقيق,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-016-04,W1_AUDIT,W1-P1-016,سجل التدقيق,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-016-05,W1_LIFECYCLE,W1-P1-016,سجل التدقيق,MEDIUM,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-017-01,W1_SCHEMA,W1-P1-017,عملية المزامنة,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-017-02,W1_SCOPE,W1-P1-017,عملية المزامنة,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-017-03,W1_CONCURRENCY,W1-P1-017,عملية المزامنة,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-017-04,W1_AUDIT,W1-P1-017,عملية المزامنة,HIGH,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W1-017-05,W1_LIFECYCLE,W1-P1-017,عملية المزامنة,MEDIUM,BLOCKED_NOT_IMPLEMENTED,,No executable provider-neutral implementation exists yet for this contract/scenario.
T-W2-001-01,W2_HAPPY_PATH,W2-P1-001,تسجيل الدخول,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Authenticate_creates_scoped_session_and_audit_event,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-001-02,W2_NEGATIVE,W2-P1-001,تسجيل الدخول,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Authenticate_creates_scoped_session_and_audit_event,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-001-03,W2_IDEMPOTENCY,W2-P1-001,تسجيل الدخول,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Authenticate_creates_scoped_session_and_audit_event,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-001-04,W2_OFFLINE_AUDIT,W2-P1-001,تسجيل الدخول,MEDIUM,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Authenticate_creates_scoped_session_and_audit_event,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-002-01,W2_HAPPY_PATH,W2-P1-002,إدارة المستخدمين,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.User_update_requires_matching_version_and_role_assignment_requires_existing_role,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-002-02,W2_NEGATIVE,W2-P1-002,إدارة المستخدمين,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.User_update_requires_matching_version_and_role_assignment_requires_existing_role,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-002-03,W2_IDEMPOTENCY,W2-P1-002,إدارة المستخدمين,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.User_update_requires_matching_version_and_role_assignment_requires_existing_role,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-002-04,W2_OFFLINE_AUDIT,W2-P1-002,إدارة المستخدمين,MEDIUM,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.User_update_requires_matching_version_and_role_assignment_requires_existing_role,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-003-01,W2_HAPPY_PATH,W2-P1-003,إسناد الأدوار والصلاحيات,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Organization_role_permissions_and_version_conflicts_are_enforced,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-003-02,W2_NEGATIVE,W2-P1-003,إسناد الأدوار والصلاحيات,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Organization_role_permissions_and_version_conflicts_are_enforced,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-003-03,W2_IDEMPOTENCY,W2-P1-003,إسناد الأدوار والصلاحيات,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Organization_role_permissions_and_version_conflicts_are_enforced,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-003-04,W2_OFFLINE_AUDIT,W2-P1-003,إسناد الأدوار والصلاحيات,MEDIUM,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Organization_role_permissions_and_version_conflicts_are_enforced,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-004-01,W2_HAPPY_PATH,W2-P1-004,إدارة المؤسسات والفروع,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Organization_role_permissions_and_version_conflicts_are_enforced,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-004-02,W2_NEGATIVE,W2-P1-004,إدارة المؤسسات والفروع,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Organization_role_permissions_and_version_conflicts_are_enforced,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-004-03,W2_IDEMPOTENCY,W2-P1-004,إدارة المؤسسات والفروع,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Organization_role_permissions_and_version_conflicts_are_enforced,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-004-04,W2_OFFLINE_AUDIT,W2-P1-004,إدارة المؤسسات والفروع,MEDIUM,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Organization_role_permissions_and_version_conflicts_are_enforced,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-005-01,W2_HAPPY_PATH,W2-P1-005,حفظ الإعدادات العامة,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Settings_require_matching_versions_for_updates,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-005-02,W2_NEGATIVE,W2-P1-005,حفظ الإعدادات العامة,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Settings_require_matching_versions_for_updates,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-005-03,W2_IDEMPOTENCY,W2-P1-005,حفظ الإعدادات العامة,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Settings_require_matching_versions_for_updates,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-005-04,W2_OFFLINE_AUDIT,W2-P1-005,حفظ الإعدادات العامة,MEDIUM,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Settings_require_matching_versions_for_updates,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-006-01,W2_HAPPY_PATH,W2-P1-006,حفظ إعدادات المؤسسة والفرع,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Settings_require_matching_versions_for_updates,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-006-02,W2_NEGATIVE,W2-P1-006,حفظ إعدادات المؤسسة والفرع,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Settings_require_matching_versions_for_updates,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-006-03,W2_IDEMPOTENCY,W2-P1-006,حفظ إعدادات المؤسسة والفرع,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Settings_require_matching_versions_for_updates,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-006-04,W2_OFFLINE_AUDIT,W2-P1-006,حفظ إعدادات المؤسسة والفرع,MEDIUM,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Settings_require_matching_versions_for_updates,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-007-01,W2_HAPPY_PATH,W2-P1-007,إنشاء دليل الحسابات,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Journal_requires_balanced_lines_and_postable_accounts,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-007-02,W2_NEGATIVE,W2-P1-007,إنشاء دليل الحسابات,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Journal_requires_balanced_lines_and_postable_accounts,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-007-03,W2_IDEMPOTENCY,W2-P1-007,إنشاء دليل الحسابات,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Journal_requires_balanced_lines_and_postable_accounts,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-007-04,W2_OFFLINE_AUDIT,W2-P1-007,إنشاء دليل الحسابات,MEDIUM,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Journal_requires_balanced_lines_and_postable_accounts,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-008-01,W2_HAPPY_PATH,W2-P1-008,فتح وإغلاق الفترة المالية,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Closing_period_with_draft_journal_is_blocked,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-008-02,W2_NEGATIVE,W2-P1-008,فتح وإغلاق الفترة المالية,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Closing_period_with_draft_journal_is_blocked,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-008-03,W2_IDEMPOTENCY,W2-P1-008,فتح وإغلاق الفترة المالية,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Closing_period_with_draft_journal_is_blocked,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-008-04,W2_OFFLINE_AUDIT,W2-P1-008,فتح وإغلاق الفترة المالية,MEDIUM,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Closing_period_with_draft_journal_is_blocked,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-009-01,W2_HAPPY_PATH,W2-P1-009,إنشاء قيد يومي,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Journal_requires_balanced_lines_and_postable_accounts,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-009-02,W2_NEGATIVE,W2-P1-009,إنشاء قيد يومي,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Journal_requires_balanced_lines_and_postable_accounts,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-009-03,W2_IDEMPOTENCY,W2-P1-009,إنشاء قيد يومي,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Journal_requires_balanced_lines_and_postable_accounts,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-009-04,W2_OFFLINE_AUDIT,W2-P1-009,إنشاء قيد يومي,MEDIUM,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Journal_requires_balanced_lines_and_postable_accounts,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-010-01,W2_HAPPY_PATH,W2-P1-010,اعتماد وترحيل القيد,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Posted_journal_is_immutable_until_reversal,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-010-02,W2_NEGATIVE,W2-P1-010,اعتماد وترحيل القيد,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Posted_journal_is_immutable_until_reversal,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-010-03,W2_IDEMPOTENCY,W2-P1-010,اعتماد وترحيل القيد,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Posted_journal_is_immutable_until_reversal,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-010-04,W2_OFFLINE_AUDIT,W2-P1-010,اعتماد وترحيل القيد,MEDIUM,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Posted_journal_is_immutable_until_reversal,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-011-01,W2_HAPPY_PATH,W2-P1-011,عكس القيد,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Posted_journal_is_immutable_until_reversal,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-011-02,W2_NEGATIVE,W2-P1-011,عكس القيد,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Posted_journal_is_immutable_until_reversal,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-011-03,W2_IDEMPOTENCY,W2-P1-011,عكس القيد,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Posted_journal_is_immutable_until_reversal,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-011-04,W2_OFFLINE_AUDIT,W2-P1-011,عكس القيد,MEDIUM,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Posted_journal_is_immutable_until_reversal,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
T-W2-012-01,W2_HAPPY_PATH,W2-P1-012,تسجيل سند قبض,HIGH,PASS_BASELINE_BEHAVIOR,P1InMemoryBaselineBehaviorTests.Voucher_rejects_non_positive_amount_and_duplicate_reference,Behavior covered by the provider-neutral in-memory baseline and passed by dotnet test.
